Year,Unit Code,Exchange Rate
2006,CLP,697.823378
2006,USD,1.325574
2006,EUR,1.0
2006,EUR,1.0
2006,USD,1.325574
2006,EUR,1.0
2006,EUR,1.0
2006,USD,1.325574
2007,AUD,1.665425
2007,EUR,1.0
2007,EUR,1.0
2007,CAD,1.489005
2007,CZK,26.085431
2007,DKK,7.467862
2007,EUR,1.0
2007,EUR,1.0
2007,EUR,1.0
2007,EUR,1.0
2007,HUF,252.747101
2007,EUR,1.0
2007,EUR,1.0
2007,JPY,164.521364
2007,KRW,1362.362262
2007,EUR,1.0
2007,EUR,1.0
2007,NOK,7.96049
2007,PLN,3.586774
2007,EUR,1.0
2007,EUR,1.0
2007,EUR,1.0
2007,SEK,9.43493
2007,CHF,1.667485
2007,GBP,0.719209
2007,USD,1.470564
2007,ILS,5.79104
2007,EUR,1.0
2007,EUR,1.0
2007,AUD,1.665425
2007,EUR,1.0
2007,EUR,1.0
2007,CAD,1.489005
2007,CZK,26.085431
2007,DKK,7.467862
2007,EUR,1.0
2007,EUR,1.0
2007,EUR,1.0
2007,EUR,1.0
2007,HUF,252.747101
2007,EUR,1.0
2007,EUR,1.0
2007,JPY,164.521364
2007,KRW,1362.362262
2007,EUR,1.0
2007,EUR,1.0
2007,NOK,7.96049
2007,PLN,3.586774
2007,EUR,1.0
2007,EUR,1.0
2007,EUR,1.0
2007,SEK,9.43493
2007,CHF,1.667485
2007,GBP,0.719209
2007,USD,1.470564
2007,ILS,5.79104
2007,EUR,1.0
2007,EUR,1.0
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,MXN,15.929038
2007,MXN,15.929038
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,USD,1.470564
2007,ISK,89.907354
2007,ISK,89.907354
2007,USD,1.470564
2007,NZD,1.870379
2007,NZD,1.870379
2007,USD,1.470564
2007,CLP,732.346146
2007,CLP,732.346146
2007,USD,1.470564
2007,EUR,1.0
2007,EUR,1.0
2007,USD,1.470564
2007,EUR,1.0
2007,EUR,1.0
2007,USD,1.470564
2008,AUD,2.027365
2008,EUR,1.0
2008,EUR,1.0
2008,CAD,1.661906
2008,CZK,26.041754
2008,DKK,7.45575
2008,EUR,1.0
2008,EUR,1.0
2008,EUR,1.0
2008,EUR,1.0
2008,HUF,265.175455
2008,EUR,1.0
2008,EUR,1.0
2008,JPY,121.220145
2008,KRW,1832.635643
2008,EUR,1.0
2008,EUR,1.0
2008,NOK,9.240548
2008,PLN,3.964675
2008,EUR,1.0
2008,EUR,1.0
2008,EUR,1.0
2008,SEK,10.731009
2008,CHF,1.574691
2008,GBP,0.894251
2008,USD,1.335845
2008,ILS,5.192269
2008,EUR,1.0
2008,EUR,1.0
2008,AUD,2.027365
2008,EUR,1.0
2008,EUR,1.0
2008,CAD,1.661906
2008,CZK,26.041754
2008,DKK,7.45575
2008,EUR,1.0
2008,EUR,1.0
2008,EUR,1.0
2008,EUR,1.0
2008,HUF,265.175455
2008,EUR,1.0
2008,EUR,1.0
2008,JPY,121.220145
2008,KRW,1832.635643
2008,EUR,1.0
2008,EUR,1.0
2008,NOK,9.240548
2008,PLN,3.964675
2008,EUR,1.0
2008,EUR,1.0
2008,EUR,1.0
2008,SEK,10.731009
2008,CHF,1.574691
2008,GBP,0.894251
2008,USD,1.335845
2008,ILS,5.192269
2008,EUR,1.0
2008,EUR,1.0
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,MXN,17.982721
2008,MXN,17.982721
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,USD,1.335845
2008,ISK,156.058538
2008,ISK,156.058538
2008,USD,1.335845
2008,NZD,2.450572
2008,NZD,2.450572
2008,USD,1.335845
2008,CLP,874.847362
2008,CLP,874.847362
2008,USD,1.335845
2008,EUR,1.0
2008,EUR,1.0
2008,USD,1.335845
2008,EUR,1.0
2008,EUR,1.0
2008,USD,1.335845
2009,AUD,1.468703
2009,EUR,1.0
2009,EUR,1.0
2009,CAD,1.549233
2009,CZK,25.80056
2009,DKK,7.442379
2009,EUR,1.0
2009,EUR,1.0
2009,EUR,1.0
2009,EUR,1.0
2009,HUF,273.071864
2009,EUR,1.0
2009,EUR,1.0
2009,JPY,130.745179
2009,KRW,1708.893424
2009,EUR,1.0
2009,EUR,1.0
2009,NOK,8.446657
2009,PLN,4.126043
2009,EUR,1.0
2009,EUR,1.0
2009,EUR,1.0
2009,SEK,10.43765
2009,CHF,1.512057
2009,GBP,0.902569
2009,USD,1.468703
2009,ILS,5.551629
